X,Y,Plot,naam,lmf_indeling,bodemgebruik,OMSCHRIJVI,geometry,lmf_english
202809793.3499995,324490397.788499,Grid57,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (202654.7933499995 324027.397788499),Hill country Limburg 
181652938.14999938,327614252.29549897,Grid58,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (181497.9381499994 327151.25229549897),Hill country Limburg 
184297545.04999942,327614252.29549897,Grid59,Limburg,hll,Bebouwd,Leem,POINT (184142.5450499994 327151.25229549897),Hill country Limburg 
186942151.9499994,327614252.29549897,Grid60,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (186787.1519499994 327151.25229549897),Hill country Limburg 
189586758.8499994,327614252.29549897,Grid61,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (189431.7588499994 327151.25229549897),Hill country Limburg 
192231365.74999937,327614252.29549897,Grid62,Limburg,hll,Bebouwd,"Bebouwing, enz",POINT (192076.3657499994 327151.25229549897),Hill country Limburg 
194875972.6499994,327614252.29549897,Grid63,Limburg,,Bebouwd,"Bebouwing, enz",POINT (194720.9726499994 327151.25229549897),
197520579.5499995,327614252.29549897,Grid64,Limburg,hzz,Water,Water,POINT (197365.5795499995 327151.25229549897),Higher sandy soils South
200165186.4499995,327614252.29549897,Grid65,Limburg,,Bebouwd,"Bebouwing, enz",POINT (200010.1864499995 327151.25229549897),
179008331.2499994,330738106.80249906,Grid66,Limburg,riv,Bebouwd,"Bebouwing, enz",POINT (178853.3312499994 330275.10680249904),River area 
181652938.14999938,330738106.80249906,Grid67,Limburg,hll,Bos,Leem,POINT (181497.9381499994 330275.10680249904),Hill country Limburg 
184297545.04999942,330738106.80249906,Grid68,Limburg,hll,Hoofdweg,"Bebouwing, enz",POINT (184142.5450499994 330275.10680249904),Hill country Limburg 
186942151.9499994,330738106.80249906,Grid69,Limburg,hll,Landbouw en overig agrarisch,Lichte zavel,POINT (186787.1519499994 330275.10680249904),Hill country Limburg 
189586758.8499994,330738106.80249906,Grid70,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (189431.7588499994 330275.10680249904),Hill country Limburg 
192231365.74999937,330738106.80249906,Grid71,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (192076.3657499994 330275.10680249904),Hill country Limburg 
194875972.6499994,330738106.80249906,Grid72,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (194720.9726499994 330275.10680249904),Hill country Limburg 
197520579.5499995,330738106.80249906,Grid73,Limburg,hzz,Bos,Zand,POINT (197365.5795499995 330275.10680249904),Higher sandy soils South
181652938.14999938,333861961.30949897,Grid74,Limburg,,Bebouwd,"Bebouwing, enz",POINT (181497.9381499994 333398.961309499),
184297545.04999942,333861961.30949897,Grid75,Limburg,hll,Landbouw en overig agrarisch,"Bebouwing, enz",POINT (184142.5450499994 333398.961309499),Hill country Limburg 
186942151.9499994,333861961.30949897,Grid76,Limburg,hll,Recreatie,Leem,POINT (186787.1519499994 333398.961309499),Hill country Limburg 
189586758.8499994,333861961.30949897,Grid77,Limburg,hll,Bebouwd,"Bebouwing, enz",POINT (189431.7588499994 333398.961309499),Hill country Limburg 
184297545.04999942,336985815.816499,Grid78,Limburg,hll,Bos,Leem,POINT (184142.5450499994 336522.815816499),Hill country Limburg 
186942151.9499994,336985815.816499,Grid79,Limburg,hll,Recreatie,Leem,POINT (186787.1519499994 336522.815816499),Hill country Limburg 
189586758.8499994,336985815.816499,Grid80,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (189431.7588499994 336522.815816499),Hill country Limburg 
184297545.04999942,340109670.323499,Grid81,Limburg,riv,Water,Water,POINT (184142.5450499994 339646.670323499),River area 
186942151.9499994,340109670.323499,Grid82,Limburg,hll,Bos,Leem,POINT (186787.1519499994 339646.670323499),Hill country Limburg 
194875972.6499994,340109670.323499,Grid83,Limburg,hzz,Landbouw en overig agrarisch,Leem,POINT (194720.9726499994 339646.670323499),Higher sandy soils South
184297545.04999942,343233524.830499,Grid84,Limburg,riv,Landbouw en overig agrarisch,Lichte zavel,POINT (184142.5450499994 342770.52483049897),River area 
186942151.9499994,343233524.830499,Grid85,Limburg,riv,Landbouw en overig agrarisch,Zware zavel,POINT (186787.1519499994 342770.52483049897),River area 
189586758.8499994,343233524.830499,Grid86,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (189431.7588499994 342770.52483049897),Higher sandy soils South
192231365.74999937,343233524.830499,Grid87,Limburg,hzz,Landbouw en overig agrarisch,Lichte zavel,POINT (192076.3657499994 342770.52483049897),Higher sandy soils South
194875972.6499994,343233524.830499,Grid88,Limburg,hzz,Landbouw en overig agrarisch,Leem,POINT (194720.9726499994 342770.52483049897),Higher sandy soils South
186942151.9499994,346357379.337499,Grid89,Limburg,riv,Landbouw en overig agrarisch,Zware zavel,POINT (186787.1519499994 345894.37933749903),River area 
189586758.8499994,346357379.337499,Grid90,Limburg,,Bebouwd,"Bebouwing, enz",POINT (189431.7588499994 345894.37933749903),
192231365.74999937,346357379.337499,Grid91,Limburg,hzz,Bos,Zand,POINT (192076.3657499994 345894.37933749903),Higher sandy soils South
194875972.6499994,346357379.337499,Grid92,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (194720.9726499994 345894.37933749903),Higher sandy soils South
197520579.5499995,346357379.337499,Grid93,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (197365.5795499995 345894.37933749903),Higher sandy soils South
200165186.4499995,346357379.337499,Grid94,Limburg,hzz,Recreatie,Zand,POINT (200010.1864499995 345894.37933749903),Higher sandy soils South
186942151.9499994,349481233.844499,Grid95,Limburg,riv,Landbouw en overig agrarisch,"Bebouwing, enz",POINT (186787.1519499994 349018.233844499),River area 
189586758.8499994,349481233.844499,Grid96,Limburg,riv,Landbouw en overig agrarisch,Lichte zavel,POINT (189431.7588499994 349018.233844499),River area 
192231365.74999937,349481233.844499,Grid97,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (192076.3657499994 349018.233844499),Higher sandy soils South
194875972.6499994,349481233.844499,Grid98,Limburg,hzz,Hoofdweg,Moerig op zand,POINT (194720.9726499994 349018.233844499),Higher sandy soils South
197520579.5499995,349481233.844499,Grid99,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (197365.5795499995 349018.233844499),Higher sandy soils South
200165186.4499995,349481233.844499,Grid100,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (200010.1864499995 349018.233844499),Higher sandy soils South
202809793.3499995,349481233.844499,Grid101,Limburg,hzz,Landbouw en overig agrarisch,Lichte zavel,POINT (202654.7933499995 349018.233844499),Higher sandy soils South
186942151.9499994,352605088.351499,Grid102,Limburg,riv,Landbouw en overig agrarisch,Zware zavel,POINT (186787.1519499994 352142.088351499),River area 
189586758.8499994,352605088.351499,Grid103,Limburg,,Bebouwd,"Bebouwing, enz",POINT (189431.7588499994 352142.088351499),
192231365.74999937,352605088.351499,Grid104,Limburg,riv,Water,Lichte zavel,POINT (192076.3657499994 352142.088351499),River area 
194875972.6499994,352605088.351499,Grid105,Limburg,hzz,Landbouw en overig agrarisch,Lichte zavel,POINT (194720.9726499994 352142.088351499),Higher sandy soils South
197520579.5499995,352605088.351499,Grid106,Limburg,hzz,Landbouw en overig agrarisch,Lichte zavel,POINT (197365.5795499995 352142.088351499),Higher sandy soils South
200165186.4499995,352605088.351499,Grid107,Limburg,hzz,Landbouw en overig agrarisch,Lichte zavel,POINT (200010.1864499995 352142.088351499),Higher sandy soils South
202809793.3499995,352605088.351499,Grid108,Limburg,hzz,Bebouwd,Zand,POINT (202654.7933499995 352142.088351499),Higher sandy soils South
205454400.24999952,352605088.351499,Grid109,Limburg,hzz,Bos,Zand,POINT (205299.4002499995 352142.088351499),Higher sandy soils South
208099007.1499995,352605088.351499,Grid110,Limburg,hzz,Bos,Zand,POINT (207944.0071499995 352142.088351499),Higher sandy soils South
176363724.3499993,355728942.858499,Grid111,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (176208.7243499993 355265.942858499),Higher sandy soils South
179008331.2499994,355728942.858499,Grid112,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (178853.3312499994 355265.942858499),Higher sandy soils South
181652938.14999938,355728942.858499,Grid113,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (181497.9381499994 355265.942858499),Higher sandy soils South
184297545.04999942,355728942.858499,Grid114,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (184142.5450499994 355265.942858499),Higher sandy soils South
186942151.9499994,355728942.858499,Grid115,Limburg,,Landbouw en overig agrarisch,"Bebouwing, enz",POINT (186787.1519499994 355265.942858499),
189586758.8499994,355728942.858499,Grid116,Limburg,hzz,Recreatie,Zand,POINT (189431.7588499994 355265.942858499),Higher sandy soils South
192231365.74999937,355728942.858499,Grid117,Limburg,riv,Landbouw en overig agrarisch,Zware zavel,POINT (192076.3657499994 355265.942858499),River area 
194875972.6499994,355728942.858499,Grid118,Limburg,riv,Bebouwd,Lichte zavel,POINT (194720.9726499994 355265.942858499),River area 
197520579.5499995,355728942.858499,Grid119,Limburg,,Bebouwd,"Bebouwing, enz",POINT (197365.5795499995 355265.942858499),
200165186.4499995,355728942.858499,Grid120,Limburg,riv,Landbouw en overig agrarisch,Lichte zavel,POINT (200010.1864499995 355265.942858499),River area 
202809793.3499995,355728942.858499,Grid121,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (202654.7933499995 355265.942858499),Higher sandy soils South
208099007.1499995,355728942.858499,Grid122,Limburg,hzz,Bos,Leem,POINT (207944.0071499995 355265.942858499),Higher sandy soils South
171074510.5499993,358852797.365499,Grid123,Limburg,hzz,Bos,Zand,POINT (170919.5105499993 358389.797365499),Higher sandy soils South
173719117.4499993,358852797.365499,Grid124,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (173564.1174499993 358389.797365499),Higher sandy soils South
176363724.3499993,358852797.365499,Grid125,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (176208.7243499993 358389.797365499),Higher sandy soils South
179008331.2499994,358852797.365499,Grid126,Limburg,hzz,Recreatie,Zand,POINT (178853.3312499994 358389.797365499),Higher sandy soils South
181652938.14999938,358852797.365499,Grid127,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (181497.9381499994 358389.797365499),Higher sandy soils South
184297545.04999942,358852797.365499,Grid128,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (184142.5450499994 358389.797365499),Higher sandy soils South
186942151.9499994,358852797.365499,Grid129,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (186787.1519499994 358389.797365499),Higher sandy soils South
189586758.8499994,358852797.365499,Grid130,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (189431.7588499994 358389.797365499),Higher sandy soils South
192231365.74999937,358852797.365499,Grid131,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (192076.3657499994 358389.797365499),Higher sandy soils South
194875972.6499994,358852797.365499,Grid132,Limburg,riv,Landbouw en overig agrarisch,Zware zavel,POINT (194720.9726499994 358389.797365499),River area 
197520579.5499995,358852797.365499,Grid133,Limburg,,Landbouw en overig agrarisch,"Bebouwing, enz",POINT (197365.5795499995 358389.797365499),
200165186.4499995,358852797.365499,Grid134,Limburg,riv,Landbouw en overig agrarisch,Lichte zavel,POINT (200010.1864499995 358389.797365499),River area 
202809793.3499995,358852797.365499,Grid135,Limburg,,Landbouw en overig agrarisch,Zand,POINT (202654.7933499995 358389.797365499),
44133379.349998996,361976651.87249905,Grid136,Zeeland,zkz,Recreatie,"Bebouwing, enz",POINT (43978.379349999 361513.65187249903),Sea clay South 
46777986.249998994,361976651.87249905,Grid137,Zeeland,zkz,Bos,Zware zavel,POINT (46622.986249999 361513.65187249903),Sea clay South 
49422593.149999,361976651.87249905,Grid138,Zeeland,zkz,Landbouw en overig agrarisch,Zware zavel,POINT (49267.593149999 361513.65187249903),Sea clay South 
52067200.049999006,361976651.87249905,Grid139,Zeeland,zkz,Landbouw en overig agrarisch,Lichte zavel,POINT (51912.200049998995 361513.65187249903),Sea clay South 
54711806.949999,361976651.87249905,Grid140,Zeeland,hzz,Bos,Zand,POINT (54556.806949998994 361513.65187249903),Higher sandy soils South
57356413.849998705,361976651.87249905,Grid141,Zeeland,hzz,Hoofdweg,Zand,POINT (57201.4138499987 361513.65187249903),Higher sandy soils South
168429903.6499993,361976651.87249905,Grid142,Noord-Brabant,hzz,Bos,Zand,POINT (168274.9036499993 361513.65187249903),Higher sandy soils South
171074510.5499993,361976651.87249905,Grid143,Noord-Brabant,hzz,Bos,Zand,POINT (170919.5105499993 361513.65187249903),Higher sandy soils South
173719117.4499993,361976651.87249905,Grid144,Limburg,hzz,Bebouwd,Zand,POINT (173564.1174499993 361513.65187249903),Higher sandy soils South
176363724.3499993,361976651.87249905,Grid145,Limburg,hzz,Bebouwd,Zand,POINT (176208.7243499993 361513.65187249903),Higher sandy soils South
179008331.2499994,361976651.87249905,Grid146,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (178853.3312499994 361513.65187249903),Higher sandy soils South
181652938.14999938,361976651.87249905,Grid147,Limburg,hzz,Landbouw en overig agrarisch,Moerig op zand,POINT (181497.9381499994 361513.65187249903),Higher sandy soils South
184297545.04999942,361976651.87249905,Grid148,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (184142.5450499994 361513.65187249903),Higher sandy soils South
186942151.9499994,361976651.87249905,Grid149,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (186787.1519499994 361513.65187249903),Higher sandy soils South
189586758.8499994,361976651.87249905,Grid150,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (189431.7588499994 361513.65187249903),Higher sandy soils South
192231365.74999937,361976651.87249905,Grid151,Limburg,hzz,Bos,Zand,POINT (192076.3657499994 361513.65187249903),Higher sandy soils South
194875972.6499994,361976651.87249905,Grid152,Limburg,hzz,Bebouwd,Zand,POINT (194720.9726499994 361513.65187249903),Higher sandy soils South
197520579.5499995,361976651.87249905,Grid153,Limburg,riv,Landbouw en overig agrarisch,Lichte zavel,POINT (197365.5795499995 361513.65187249903),River area 
200165186.4499995,361976651.87249905,Grid154,Limburg,riv,Landbouw en overig agrarisch,Lichte zavel,POINT (200010.1864499995 361513.65187249903),River area 
202809793.3499995,361976651.87249905,Grid155,Limburg,hzz,Bos,Zand,POINT (202654.7933499995 361513.65187249903),Higher sandy soils South
20331917.24999901,365100506.37949884,Grid156,Zeeland,hzz,Landbouw en overig agrarisch,Zand,POINT (20176.91724999901 364637.50637949887),Higher sandy soils South
22976524.149998996,365100506.37949884,Grid157,Zeeland,hzz,Landbouw en overig agrarisch,Zand,POINT (22821.524149998993 364637.50637949887),Higher sandy soils South
44133379.349998996,365100506.37949884,Grid158,Zeeland,,Landbouw en overig agrarisch,Lichte zavel,POINT (43978.379349999 364637.50637949887),
46777986.249998994,365100506.37949884,Grid159,Zeeland,zkz,Bebouwd,Lichte zavel,POINT (46622.986249999 364637.50637949887),Sea clay South 
49422593.149999,365100506.37949884,Grid160,Zeeland,zkz,Hoofdweg,Lichte zavel,POINT (49267.593149999 364637.50637949887),Sea clay South 
52067200.049999006,365100506.37949884,Grid161,Zeeland,zkz,Water,"Bebouwing, enz",POINT (51912.200049998995 364637.50637949887),Sea clay South 
54711806.949999,365100506.37949884,Grid162,Zeeland,zkz,Landbouw en overig agrarisch,Zware zavel,POINT (54556.806949998994 364637.50637949887),Sea clay South 
57356413.849998705,365100506.37949884,Grid163,Zeeland,,Landbouw en overig agrarisch,Zand,POINT (57201.4138499987 364637.50637949887),
60001020.7499987,365100506.37949884,Grid164,Zeeland,zkz,Landbouw en overig agrarisch,Zware zavel,POINT (59846.0207499987 364637.50637949887),Sea clay South 
62645627.6499988,365100506.37949884,Grid165,Zeeland,hzz,Bos,Lichte zavel,POINT (62490.6276499988 364637.50637949887),Higher sandy soils South
65290234.5499988,365100506.37949884,Grid166,Zeeland,hzz,Bebouwd,Zand,POINT (65135.2345499988 364637.50637949887),Higher sandy soils South
144628441.5499992,365100506.37949884,Grid167,Noord-Brabant,hzz,Landbouw en overig agrarisch,Zand,POINT (144473.4415499992 364637.50637949887),Higher sandy soils South
147273048.44999918,365100506.37949884,Grid168,Noord-Brabant,hzz,Bos,Zand,POINT (147118.0484499992 364637.50637949887),Higher sandy soils South
149917655.3499992,365100506.37949884,Grid169,Noord-Brabant,hzz,Bos,Zand,POINT (149762.6553499992 364637.50637949887),Higher sandy soils South
155206869.14999923,365100506.37949884,Grid170,Noord-Brabant,hzz,Landbouw en overig agrarisch,Zand,POINT (155051.86914999923 364637.50637949887),Higher sandy soils South
157851476.04999924,365100506.37949884,Grid171,Noord-Brabant,hzz,Bos,Zand,POINT (157696.47604999924 364637.50637949887),Higher sandy soils South
168429903.6499993,365100506.37949884,Grid172,Noord-Brabant,hzz,Bebouwd,"Bebouwing, enz",POINT (168274.9036499993 364637.50637949887),Higher sandy soils South
171074510.5499993,365100506.37949884,Grid173,Noord-Brabant,hzz,Bos,Zand,POINT (170919.5105499993 364637.50637949887),Higher sandy soils South
173719117.4499993,365100506.37949884,Grid174,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (173564.1174499993 364637.50637949887),Higher sandy soils South
176363724.3499993,365100506.37949884,Grid175,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (176208.7243499993 364637.50637949887),Higher sandy soils South
179008331.2499994,365100506.37949884,Grid176,Limburg,hzz,Bebouwd,Zand,POINT (178853.3312499994 364637.50637949887),Higher sandy soils South
181652938.14999938,365100506.37949884,Grid177,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (181497.9381499994 364637.50637949887),Higher sandy soils South
184297545.04999942,365100506.37949884,Grid178,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (184142.5450499994 364637.50637949887),Higher sandy soils South
186942151.9499994,365100506.37949884,Grid179,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (186787.1519499994 364637.50637949887),Higher sandy soils South
189586758.8499994,365100506.37949884,Grid180,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (189431.7588499994 364637.50637949887),Higher sandy soils South
192231365.74999937,365100506.37949884,Grid181,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (192076.3657499994 364637.50637949887),Higher sandy soils South
194875972.6499994,365100506.37949884,Grid182,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (194720.9726499994 364637.50637949887),Higher sandy soils South
197520579.5499995,365100506.37949884,Grid183,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (197365.5795499995 364637.50637949887),Higher sandy soils South
200165186.4499995,365100506.37949884,Grid184,Limburg,,Bebouwd,"Bebouwing, enz",POINT (200010.1864499995 364637.50637949887),
202809793.3499995,365100506.37949884,Grid185,Limburg,hzz,Hoofdweg,Zand,POINT (202654.7933499995 364637.50637949887),Higher sandy soils South
205454400.24999952,365100506.37949884,Grid186,Limburg,hzz,Landbouw en overig agrarisch,Zand,POINT (205299.4002499995 364637.50637949887),Higher sandy soils South
17687310.349998996,368224360.88649887,Grid187,Zeeland,zkz,Landbouw en overig agrarisch,Zware zavel,POINT (17532.310349998996 367761.36088649894),Sea clay South 
20331917.24999901,368224360.88649887,Grid188,Zeeland,zkz,Landbouw en overig agrarisch,Zware zavel,POINT (20176.91724999901 367761.36088649894),Sea clay South 
22976524.149998996,368224360.88649887,Grid189,Zeeland,zkz,Landbouw en overig agrarisch,Lichte zavel,POINT (22821.524149998993 367761.36088649894),Sea clay South 
